id,countingBall,nonCountingBall,score,bowlerId,facingBatsmanId,boundary,overHistoryId
1,1,1,1,5591,1220,FALSE,84666
2,2,2,.,5591,1601,FALSE,84666
3,3,3,.,5591,1601,FALSE,84666
4,4,4,1Wd,5591,1601,FALSE,84666
5,4,5,.,5591,1601,FALSE,84666
6,5,6,.,5591,1601,FALSE,84666
7,6,7,.,5591,1601,FALSE,84666
8,1,1,.,5590,1220,FALSE,84667
9,2,2,.,5590,1220,FALSE,84667
10,3,3,.,5590,1220,FALSE,84667
11,4,4,.,5590,1220,FALSE,84667
12,5,5,.,5590,1220,FALSE,84667
13,6,6,.,5590,1220,FALSE,84667
14,1,1,1,5591,1601,FALSE,84668
15,2,2,.,5591,1220,FALSE,84668
16,3,3,1Lb,5591,1220,FALSE,84668
17,4,4,.,5591,1601,FALSE,84668
18,5,5,.,5591,1601,FALSE,84668
19,6,6,.,5591,1601,FALSE,84668
20,1,1,2,5590,1220,FALSE,84669
21,2,2,.,5590,1220,FALSE,84669
22,3,3,2,5590,1220,FALSE,84669
23,4,4,4,5590,1220,TRUE,84669
24,5,5,1,5590,1220,FALSE,84669
25,6,6,.,5590,1601,FALSE,84669
26,1,1,.,5591,1220,FALSE,84670
27,2,2,.,5591,1220,FALSE,84670
28,3,3,.,5591,1220,FALSE,84670
29,4,4,.,5591,1220,FALSE,84670
30,5,5,1Wd,5591,1220,FALSE,84670
31,5,6,.,5591,1220,FALSE,84670
32,6,7,2,5591,1220,FALSE,84670
33,1,1,.,5590,1601,FALSE,84671
34,2,2,.,5590,1601,FALSE,84671
35,3,3,1,5590,1601,FALSE,84671
36,4,4,.,5590,1220,FALSE,84671
37,5,5,.,5590,1220,FALSE,84671
38,6,6,4,5590,1220,TRUE,84671
39,1,1,.,5591,1601,FALSE,84672
40,2,2,3,5591,1601,FALSE,84672
41,3,3,.,5591,1220,FALSE,84672
42,4,4,.,5591,1220,FALSE,84672
43,5,5,W,5591,1220,FALSE,84672
44,6,6,3,5591,3002,FALSE,84672
45,1,1,.,5590,3002,FALSE,84673
46,2,2,.,5590,3002,FALSE,84673
47,3,3,3,5590,3002,FALSE,84673
48,4,4,.,5590,1601,FALSE,84673
49,5,5,.,5590,1601,FALSE,84673
50,6,6,.,5590,1601,FALSE,84673
51,1,1,.,5591,3002,FALSE,84674
52,2,2,.,5591,3002,FALSE,84674
53,3,3,.,5591,3002,FALSE,84674
54,4,4,1,5591,3002,FALSE,84674
55,5,5,2,5591,1601,FALSE,84674
56,6,6,.,5591,1601,FALSE,84674
57,1,1,.,5590,3002,FALSE,84675
58,2,2,1,5590,3002,FALSE,84675
59,3,3,4,5590,1601,TRUE,84675
60,4,4,.,5590,1601,FALSE,84675
61,5,5,1,5590,1601,FALSE,84675
62,6,6,2,5590,3002,FALSE,84675
63,1,1,1,3893,1601,FALSE,84676
64,2,2,1,3893,3002,FALSE,84676
65,3,3,1,3893,1601,FALSE,84676
66,4,4,.,3893,3002,FALSE,84676
67,5,5,6,3893,3002,TRUE,84676
68,6,6,.,3893,3002,FALSE,84676
69,1,1,1,2831,1601,FALSE,84677
70,2,2,2,2831,3002,FALSE,84677
71,3,3,.,2831,3002,FALSE,84677
72,4,4,1,2831,3002,FALSE,84677
73,5,5,.,2831,1601,FALSE,84677
74,6,6,.,2831,1601,FALSE,84677
75,1,1,1,3893,3002,FALSE,84678
76,2,2,1,3893,1601,FALSE,84678
77,3,3,1,3893,3002,FALSE,84678
78,4,4,2,3893,1601,FALSE,84678
79,5,5,1,3893,1601,FALSE,84678
80,6,6,.,3893,3002,FALSE,84678
81,1,1,.,2831,1601,FALSE,84679
82,2,2,4,2831,1601,TRUE,84679
83,3,3,.,2831,1601,FALSE,84679
84,4,4,.,2831,1601,FALSE,84679
85,5,5,3,2831,1601,FALSE,84679
86,6,6,.,2831,3002,FALSE,84679
87,1,1,.,3893,1601,FALSE,84680
88,2,2,2,3893,1601,FALSE,84680
89,3,3,.,3893,1601,FALSE,84680
90,4,4,1,3893,1601,FALSE,84680
91,5,5,2,3893,3002,FALSE,84680
92,6,6,1,3893,3002,FALSE,84680
93,1,1,2,2831,3002,FALSE,84681
94,2,2,1,2831,3002,FALSE,84681
95,3,3,.,2831,1601,FALSE,84681
96,4,4,W,2831,1601,FALSE,84681
97,5,5,.,2831,1231,FALSE,84681
98,6,6,.,2831,1231,FALSE,84681
99,1,1,.,2828,3002,FALSE,84682
100,2,2,1,2828,3002,FALSE,84682
101,3,3,1,2828,1231,FALSE,84682
102,4,4,.,2828,3002,FALSE,84682
103,5,5,1,2828,3002,FALSE,84682
104,6,6,.,2828,1231,FALSE,84682
105,1,1,1,2831,3002,FALSE,84683
106,2,2,.,2831,1231,FALSE,84683
107,3,3,1,2831,1231,FALSE,84683
108,4,4,1Wd,2831,3002,FALSE,84683
109,4,5,1,2831,3002,FALSE,84683
110,5,6,.,2831,1231,FALSE,84683
111,6,7,1,2831,1231,FALSE,84683
112,1,1,.,2828,1231,FALSE,84684
